expected_dep_min,dep_delay_min,date
970,,2025-10-12
954,,2025-10-12
955,990.0,2025-10-12
963,,2025-10-12
964,,2025-10-12
965,,2025-10-12
968,,2025-10-12
970,,2025-10-12
943,,2025-10-12
945,,2025-10-12
947,1035.0,2025-10-12
947,,2025-10-12
951,,2025-10-12
954,,2025-10-12
955,990.0,2025-10-12
963,,2025-10-12
964,,2025-10-12
938,,2025-10-12
940,1136.0,2025-10-12
941,,2025-10-12
942,968.0,2025-10-12
942,,2025-10-12
942,,2025-10-12
943,,2025-10-12
945,,2025-10-12
947,1035.0,2025-10-12
947,,2025-10-12
930,958.0,2025-10-12
931,,2025-10-12
932,,2025-10-12
932,,2025-10-12
935,,2025-10-12
936,,2025-10-12
938,,2025-10-12
940,1136.0,2025-10-12
941,,2025-10-12
942,968.0,2025-10-12
920,,2025-10-12
922,,2025-10-12
922,,2025-10-12
925,,2025-10-12
925,,2025-10-12
929,,2025-10-12
930,958.0,2025-10-12
931,,2025-10-12
932,,2025-10-12
932,,2025-10-12
915,,2025-10-12
915,,2025-10-12
916,,2025-10-12
917,,2025-10-12
919,,2025-10-12
920,,2025-10-12
920,,2025-10-12
922,,2025-10-12
922,,2025-10-12
925,,2025-10-12
910,,2025-10-12
911,,2025-10-12
911,,2025-10-12
912,,2025-10-12
912,,2025-10-12
915,,2025-10-12
915,,2025-10-12
915,,2025-10-12
916,,2025-10-12
917,,2025-10-12
906,,2025-10-12
906,,2025-10-12
907,,2025-10-12
908,,2025-10-12
908,,2025-10-12
909,,2025-10-12
910,,2025-10-12
911,,2025-10-12
911,,2025-10-12
912,,2025-10-12
902,,2025-10-12
903,,2025-10-12
904,,2025-10-12
905,,2025-10-12
905,,2025-10-12
906,989.0,2025-10-12
906,,2025-10-12
906,,2025-10-12
907,,2025-10-12
908,,2025-10-12
897,,2025-10-12
898,1025.0,2025-10-12
900,1000.0,2025-10-12
900,,2025-10-12
900,,2025-10-12
901,,2025-10-12
902,,2025-10-12
903,,2025-10-12
904,,2025-10-12
905,,2025-10-12
894,,2025-10-12
894,,2025-10-12
895,,2025-10-12
897,,2025-10-12
897,,2025-10-12
897,,2025-10-12
897,,2025-10-12
898,1025.0,2025-10-12
900,1000.0,2025-10-12
900,,2025-10-12
891,920.0,2025-10-12
891,,2025-10-12
892,,2025-10-12
893,,2025-10-12
893,,2025-10-12
894,980.0,2025-10-12
894,,2025-10-12
894,,2025-10-12
895,,2025-10-12
897,,2025-10-12
890,,2025-10-12
890,,2025-10-12
890,,2025-10-12
890,,2025-10-12
890,,2025-10-12
890,,2025-10-12
891,920.0,2025-10-12
891,,2025-10-12
892,,2025-10-12
893,,2025-10-12
885,,2025-10-12
885,,2025-10-12
885,,2025-10-12
887,,2025-10-12
889,,2025-10-12
890,953.0,2025-10-12
890,,2025-10-12
890,,2025-10-12
890,,2025-10-12
890,,2025-10-12
880,,2025-10-12
881,,2025-10-12
882,,2025-10-12
883,949.0,2025-10-12
884,1017.0,2025-10-12
885,,2025-10-12
885,,2025-10-12
885,,2025-10-12
887,,2025-10-12
876,,2025-10-12
876,,2025-10-12
877,,2025-10-12
878,,2025-10-12
880,,2025-10-12
880,,2025-10-12
880,,2025-10-12
881,,2025-10-12
882,,2025-10-12
874,,2025-10-12
874,,2025-10-12
875,,2025-10-12
875,,2025-10-12
875,,2025-10-12
875,,2025-10-12
876,,2025-10-12
876,,2025-10-12
877,,2025-10-12
878,,2025-10-12
867,,2025-10-12
870,,2025-10-12
870,,2025-10-12
872,971.0,2025-10-12
872,,2025-10-12
874,,2025-10-12
874,,2025-10-12
874,,2025-10-12
875,,2025-10-12
875,,2025-10-12
865,,2025-10-12
865,,2025-10-12
866,,2025-10-12
866,,2025-10-12
866,,2025-10-12
867,932.0,2025-10-12
867,,2025-10-12
870,,2025-10-12
870,,2025-10-12
872,971.0,2025-10-12
865,,2025-10-12
865,,2025-10-12
865,,2025-10-12
865,,2025-10-12
865,,2025-10-12
865,,2025-10-12
865,,2025-10-12
865,,2025-10-12
866,,2025-10-12
866,,2025-10-12
859,,2025-10-12
860,,2025-10-12
865,946.0,2025-10-12
865,,2025-10-12
865,,2025-10-12
865,,2025-10-12
865,,2025-10-12
865,,2025-10-12
865,,2025-10-12
755,860.0,2025-10-12
781,830.0,2025-10-12
795,848.0,2025-10-12
808,865.0,2025-10-12
824,945.0,2025-10-12
859,,2025-10-12
860,,2025-10-12
865,946.0,2025-10-12
685,744.0,2025-10-12
687,830.0,2025-10-12
740,825.0,2025-10-12
740,797.0,2025-10-12
751,835.0,2025-10-12
752,960.0,2025-10-12
755,860.0,2025-10-12
781,830.0,2025-10-12
795,848.0,2025-10-12
808,865.0,2025-10-12
656,737.0,2025-10-12
660,730.0,2025-10-12
666,735.0,2025-10-12
666,729.0,2025-10-12
667,725.0,2025-10-12
685,785.0,2025-10-12
685,744.0,2025-10-12
687,830.0,2025-10-12
740,825.0,2025-10-12
740,797.0,2025-10-12
554,614.0,2025-10-12
573,630.0,2025-10-12
585,660.0,2025-10-12
615,660.0,2025-10-12
656,737.0,2025-10-12
660,730.0,2025-10-12
666,735.0,2025-10-12
666,729.0,2025-10-12
500,615.0,2025-10-12
520,580.0,2025-10-12
554,614.0,2025-10-12
573,630.0,2025-10-12
585,660.0,2025-10-12
615,660.0,2025-10-12
442,507.0,2025-10-12
450,510.0,2025-10-12
500,615.0,2025-10-12
520,580.0,2025-10-12
442,507.0,2025-10-12
450,510.0,2025-10-12
